Crime,Crimes,Police Station,Crime Category,Latitude,Longitude,Year
Carjacking,6,Kamesh,Aggravated Robbery,-33.769185,25.3660359,2014
Robbery at residential premises,12,Kamesh,Aggravated Robbery,-33.769185,25.3660359,2014
Robbery at non-residential premises,30,Kamesh,Aggravated Robbery,-33.769185,25.3660359,2014
Robbery of cash in transit,0,Kamesh,Aggravated Robbery,-33.769185,25.3660359,2014
Bank robbery,0,Kamesh,Aggravated Robbery,-33.769185,25.3660359,2014
Truck hijacking ,0,Kamesh,Aggravated Robbery,-33.769185,25.3660359,2014
Arson,30,Kamesh,Contact-Related Crimes,-33.769185,25.3660359,2014
Malicious damage to property,159,Kamesh,Contact-Related Crimes,-33.769185,25.3660359,2014
Burglary at non-residential premises,25,Kamesh,Property-Related Crimes,-33.769185,25.3660359,2014
Burglary at residential premises,225,Kamesh,Property-Related Crimes,-33.769185,25.3660359,2014
Theft of motor vehicle and motorcycle,8,Kamesh,Property-Related Crimes,-33.769185,25.3660359,2014
Theft out of or from motor vehicle,106,Kamesh,Property-Related Crimes,-33.769185,25.3660359,2014
Stock-theft,7,Kamesh,Property-Related Crimes,-33.769185,25.3660359,2014
All theft not mentioned elsewhere,167,Kamesh,Other Serious Crimes,-33.769185,25.3660359,2014
Commercial crime,11,Kamesh,Other Serious Crimes,-33.769185,25.3660359,2014
Shoplifting,6,Kamesh,Other Serious Crimes,-33.769185,25.3660359,2014
Illegal possession of firearms and ammunition,10,Kamesh,Crime detected as a result of Police Action,-33.769185,25.3660359,2014
Drug-related crime,697,Kamesh,Crime detected as a result of Police Action,-33.769185,25.3660359,2014
Driving under the influence of alcohol or drugs,46,Kamesh,Crime detected as a result of Police Action,-33.769185,25.3660359,2014
Sexual Offences detected as a result of police action,0,Kamesh,Crime detected as a result of Police Action,-33.769185,25.3660359,2014
Murder,23,Kwadwesi,Contact Crimes,-33.8410858,25.5230822,2014
Attempted murder,23,Kwadwesi,Contact Crimes,-33.8410858,25.5230822,2014
Assault with the intent to inflict grievous bodily harm,197,Kwadwesi,Contact Crimes,-33.8410858,25.5230822,2014
Common assault,134,Kwadwesi,Contact Crimes,-33.8410858,25.5230822,2014
Common robbery,28,Kwadwesi,Contact Crimes,-33.8410858,25.5230822,2014
Robbery with aggravating circumstances,264,Kwadwesi,Contact Crimes,-33.8410858,25.5230822,2014
Rape,79,Kwadwesi,Sexual Offences,-33.8410858,25.5230822,2014
Sexual Assault,4,Kwadwesi,Sexual Offences,-33.8410858,25.5230822,2014
Attempted Sexual Offences,3,Kwadwesi,Sexual Offences,-33.8410858,25.5230822,2014
Contact Sexual Offences,0,Kwadwesi,Sexual Offences,-33.8410858,25.5230822,2014
Carjacking,35,Kwadwesi,Aggravated Robbery,-33.8410858,25.5230822,2014
Robbery at residential premises,42,Kwadwesi,Aggravated Robbery,-33.8410858,25.5230822,2014
Robbery at non-residential premises,27,Kwadwesi,Aggravated Robbery,-33.8410858,25.5230822,2014
Robbery of cash in transit,0,Kwadwesi,Aggravated Robbery,-33.8410858,25.5230822,2014
Bank robbery,0,Kwadwesi,Aggravated Robbery,-33.8410858,25.5230822,2014
Truck hijacking ,0,Kwadwesi,Aggravated Robbery,-33.8410858,25.5230822,2014
Arson,7,Kwadwesi,Contact-Related Crimes,-33.8410858,25.5230822,2014
Malicious damage to property,116,Kwadwesi,Contact-Related Crimes,-33.8410858,25.5230822,2014
Burglary at non-residential premises,30,Kwadwesi,Property-Related Crimes,-33.8410858,25.5230822,2014
Burglary at residential premises,237,Kwadwesi,Property-Related Crimes,-33.8410858,25.5230822,2014
Theft of motor vehicle and motorcycle,39,Kwadwesi,Property-Related Crimes,-33.8410858,25.5230822,2014
Theft out of or from motor vehicle,114,Kwadwesi,Property-Related Crimes,-33.8410858,25.5230822,2014
Stock-theft,4,Kwadwesi,Property-Related Crimes,-33.8410858,25.5230822,2014
All theft not mentioned elsewhere,173,Kwadwesi,Other Serious Crimes,-33.8410858,25.5230822,2014
Commercial crime,61,Kwadwesi,Other Serious Crimes,-33.8410858,25.5230822,2014
Shoplifting,19,Kwadwesi,Other Serious Crimes,-33.8410858,25.5230822,2014
Illegal possession of firearms and ammunition,25,Kwadwesi,Crime detected as a result of Police Action,-33.8410858,25.5230822,2014
Drug-related crime,112,Kwadwesi,Crime detected as a result of Police Action,-33.8410858,25.5230822,2014
Driving under the influence of alcohol or drugs,181,Kwadwesi,Crime detected as a result of Police Action,-33.8410858,25.5230822,2014
Sexual Offences detected as a result of police action,0,Kwadwesi,Crime detected as a result of Police Action,-33.8410858,25.5230822,2014
Murder,25,Kwanobuhle,Contact Crimes,-33.8140582,25.3975369,2014
Attempted murder,28,Kwanobuhle,Contact Crimes,-33.8140582,25.3975369,2014
Assault with the intent to inflict grievous bodily harm,458,Kwanobuhle,Contact Crimes,-33.8140582,25.3975369,2014
Common assault,177,Kwanobuhle,Contact Crimes,-33.8140582,25.3975369,2014
Common robbery,42,Kwanobuhle,Contact Crimes,-33.8140582,25.3975369,2014
Robbery with aggravating circumstances,286,Kwanobuhle,Contact Crimes,-33.8140582,25.3975369,2014
Rape,142,Kwanobuhle,Sexual Offences,-33.8140582,25.3975369,2014
Sexual Assault,11,Kwanobuhle,Sexual Offences,-33.8140582,25.3975369,2014
Attempted Sexual Offences,3,Kwanobuhle,Sexual Offences,-33.8140582,25.3975369,2014
Contact Sexual Offences,1,Kwanobuhle,Sexual Offences,-33.8140582,25.3975369,2014
Carjacking,46,Kwanobuhle,Aggravated Robbery,-33.8140582,25.3975369,2014
Robbery at residential premises,67,Kwanobuhle,Aggravated Robbery,-33.8140582,25.3975369,2014
Robbery at non-residential premises,52,Kwanobuhle,Aggravated Robbery,-33.8140582,25.3975369,2014
Robbery of cash in transit,0,Kwanobuhle,Aggravated Robbery,-33.8140582,25.3975369,2014
Bank robbery,0,Kwanobuhle,Aggravated Robbery,-33.8140582,25.3975369,2014
Truck hijacking ,0,Kwanobuhle,Aggravated Robbery,-33.8140582,25.3975369,2014
Arson,16,Kwanobuhle,Contact-Related Crimes,-33.8140582,25.3975369,2014
Malicious damage to property,146,Kwanobuhle,Contact-Related Crimes,-33.8140582,25.3975369,2014
Burglary at non-residential premises,92,Kwanobuhle,Property-Related Crimes,-33.8140582,25.3975369,2014
Burglary at residential premises,293,Kwanobuhle,Property-Related Crimes,-33.8140582,25.3975369,2014
Theft of motor vehicle and motorcycle,50,Kwanobuhle,Property-Related Crimes,-33.8140582,25.3975369,2014
Theft out of or from motor vehicle,62,Kwanobuhle,Property-Related Crimes,-33.8140582,25.3975369,2014
Stock-theft,6,Kwanobuhle,Property-Related Crimes,-33.8140582,25.3975369,2014
All theft not mentioned elsewhere,176,Kwanobuhle,Other Serious Crimes,-33.8140582,25.3975369,2014
Commercial crime,35,Kwanobuhle,Other Serious Crimes,-33.8140582,25.3975369,2014
Shoplifting,65,Kwanobuhle,Other Serious Crimes,-33.8140582,25.3975369,2014
Illegal possession of firearms and ammunition,10,Kwanobuhle,Crime detected as a result of Police Action,-33.8140582,25.3975369,2014
Drug-related crime,619,Kwanobuhle,Crime detected as a result of Police Action,-33.8140582,25.3975369,2014
Driving under the influence of alcohol or drugs,64,Kwanobuhle,Crime detected as a result of Police Action,-33.8140582,25.3975369,2014
Sexual Offences detected as a result of police action,1,Kwanobuhle,Crime detected as a result of Police Action,-33.8140582,25.3975369,2014
Murder,83,Kwazakele,Contact Crimes,-32.8707381,27.3876141,2014
Attempted murder,105,Kwazakele,Contact Crimes,-32.8707381,27.3876141,2014
Assault with the intent to inflict grievous bodily harm,697,Kwazakele,Contact Crimes,-32.8707381,27.3876141,2014
Common assault,400,Kwazakele,Contact Crimes,-32.8707381,27.3876141,2014
Common robbery,177,Kwazakele,Contact Crimes,-32.8707381,27.3876141,2014
Robbery with aggravating circumstances,941,Kwazakele,Contact Crimes,-32.8707381,27.3876141,2014
Rape,204,Kwazakele,Sexual Offences,-32.8707381,27.3876141,2014
Sexual Assault,13,Kwazakele,Sexual Offences,-32.8707381,27.3876141,2014
Attempted Sexual Offences,9,Kwazakele,Sexual Offences,-32.8707381,27.3876141,2014
Contact Sexual Offences,5,Kwazakele,Sexual Offences,-32.8707381,27.3876141,2014
Carjacking,104,Kwazakele,Aggravated Robbery,-32.8707381,27.3876141,2014
Robbery at residential premises,126,Kwazakele,Aggravated Robbery,-32.8707381,27.3876141,2014
Robbery at non-residential premises,52,Kwazakele,Aggravated Robbery,-32.8707381,27.3876141,2014
Robbery of cash in transit,1,Kwazakele,Aggravated Robbery,-32.8707381,27.3876141,2014
Bank robbery,0,Kwazakele,Aggravated Robbery,-32.8707381,27.3876141,2014
Truck hijacking ,1,Kwazakele,Aggravated Robbery,-32.8707381,27.3876141,2014
Arson,22,Kwazakele,Contact-Related Crimes,-32.8707381,27.3876141,2014
Malicious damage to property,275,Kwazakele,Contact-Related Crimes,-32.8707381,27.3876141,2014
Burglary at non-residential premises,61,Kwazakele,Property-Related Crimes,-32.8707381,27.3876141,2014
Burglary at residential premises,451,Kwazakele,Property-Related Crimes,-32.8707381,27.3876141,2014
Theft of motor vehicle and motorcycle,75,Kwazakele,Property-Related Crimes,-32.8707381,27.3876141,2014
Theft out of or from motor vehicle,123,Kwazakele,Property-Related Crimes,-32.8707381,27.3876141,2014
Stock-theft,2,Kwazakele,Property-Related Crimes,-32.8707381,27.3876141,2014
All theft not mentioned elsewhere,435,Kwazakele,Other Serious Crimes,-32.8707381,27.3876141,2014
Commercial crime,73,Kwazakele,Other Serious Crimes,-32.8707381,27.3876141,2014
Shoplifting,157,Kwazakele,Other Serious Crimes,-32.8707381,27.3876141,2014
Illegal possession of firearms and ammunition,71,Kwazakele,Crime detected as a result of Police Action,-32.8707381,27.3876141,2014
Drug-related crime,339,Kwazakele,Crime detected as a result of Police Action,-32.8707381,27.3876141,2014
Driving under the influence of alcohol or drugs,420,Kwazakele,Crime detected as a result of Police Action,-32.8707381,27.3876141,2014
Sexual Offences detected as a result of police action,0,Kwazakele,Crime detected as a result of Police Action,-32.8707381,27.3876141,2014
Murder,48,Motherwell,Contact Crimes,-33.796568,25.583835,2014
Attempted murder,40,Motherwell,Contact Crimes,-33.796568,25.583835,2014
Assault with the intent to inflict grievous bodily harm,408,Motherwell,Contact Crimes,-33.796568,25.583835,2014
Common assault,263,Motherwell,Contact Crimes,-33.796568,25.583835,2014
Common robbery,64,Motherwell,Contact Crimes,-33.796568,25.583835,2014
Robbery with aggravating circumstances,454,Motherwell,Contact Crimes,-33.796568,25.583835,2014
Rape,162,Motherwell,Sexual Offences,-33.796568,25.583835,2014
Sexual Assault,12,Motherwell,Sexual Offences,-33.796568,25.583835,2014
Attempted Sexual Offences,5,Motherwell,Sexual Offences,-33.796568,25.583835,2014
Contact Sexual Offences,0,Motherwell,Sexual Offences,-33.796568,25.583835,2014
Carjacking,64,Motherwell,Aggravated Robbery,-33.796568,25.583835,2014
Robbery at residential premises,38,Motherwell,Aggravated Robbery,-33.796568,25.583835,2014
Robbery at non-residential premises,83,Motherwell,Aggravated Robbery,-33.796568,25.583835,2014
Robbery of cash in transit,0,Motherwell,Aggravated Robbery,-33.796568,25.583835,2014
Bank robbery,0,Motherwell,Aggravated Robbery,-33.796568,25.583835,2014
Truck hijacking ,1,Motherwell,Aggravated Robbery,-33.796568,25.583835,2014
Arson,18,Motherwell,Contact-Related Crimes,-33.796568,25.583835,2014
Malicious damage to property,166,Motherwell,Contact-Related Crimes,-33.796568,25.583835,2014
Burglary at non-residential premises,72,Motherwell,Property-Related Crimes,-33.796568,25.583835,2014
Burglary at residential premises,347,Motherwell,Property-Related Crimes,-33.796568,25.583835,2014
Theft of motor vehicle and motorcycle,126,Motherwell,Property-Related Crimes,-33.796568,25.583835,2014
Theft out of or from motor vehicle,96,Motherwell,Property-Related Crimes,-33.796568,25.583835,2014
Stock-theft,3,Motherwell,Property-Related Crimes,-33.796568,25.583835,2014
All theft not mentioned elsewhere,316,Motherwell,Other Serious Crimes,-33.796568,25.583835,2014
Commercial crime,91,Motherwell,Other Serious Crimes,-33.796568,25.583835,2014
Shoplifting,68,Motherwell,Other Serious Crimes,-33.796568,25.583835,2014
Illegal possession of firearms and ammunition,33,Motherwell,Crime detected as a result of Police Action,-33.796568,25.583835,2014
Drug-related crime,392,Motherwell,Crime detected as a result of Police Action,-33.796568,25.583835,2014
Driving under the influence of alcohol or drugs,439,Motherwell,Crime detected as a result of Police Action,-33.796568,25.583835,2014
Sexual Offences detected as a result of police action,0,Motherwell,Crime detected as a result of Police Action,-33.796568,25.583835,2014
Murder,7,Mount Road,Contact Crimes,-33.955318,25.5947301,2014
Attempted murder,11,Mount Road,Contact Crimes,-33.955318,25.5947301,2014
Assault with the intent to inflict grievous bodily harm,87,Mount Road,Contact Crimes,-33.955318,25.5947301,2014
Common assault,298,Mount Road,Contact Crimes,-33.955318,25.5947301,2014
Common robbery,173,Mount Road,Contact Crimes,-33.955318,25.5947301,2014
Robbery with aggravating circumstances,288,Mount Road,Contact Crimes,-33.955318,25.5947301,2014
Rape,33,Mount Road,Sexual Offences,-33.955318,25.5947301,2014
Sexual Assault,13,Mount Road,Sexual Offences,-33.955318,25.5947301,2014
Attempted Sexual Offences,0,Mount Road,Sexual Offences,-33.955318,25.5947301,2014
Contact Sexual Offences,2,Mount Road,Sexual Offences,-33.955318,25.5947301,2014
Carjacking,18,Mount Road,Aggravated Robbery,-33.955318,25.5947301,2014
Robbery at residential premises,12,Mount Road,Aggravated Robbery,-33.955318,25.5947301,2014
Robbery at non-residential premises,54,Mount Road,Aggravated Robbery,-33.955318,25.5947301,2014
Robbery of cash in transit,0,Mount Road,Aggravated Robbery,-33.955318,25.5947301,2014
Bank robbery,0,Mount Road,Aggravated Robbery,-33.955318,25.5947301,2014
Truck hijacking ,3,Mount Road,Aggravated Robbery,-33.955318,25.5947301,2014
Arson,2,Mount Road,Contact-Related Crimes,-33.955318,25.5947301,2014
Malicious damage to property,391,Mount Road,Contact-Related Crimes,-33.955318,25.5947301,2014
Burglary at non-residential premises,514,Mount Road,Property-Related Crimes,-33.955318,25.5947301,2014
Burglary at residential premises,390,Mount Road,Property-Related Crimes,-33.955318,25.5947301,2014
Theft of motor vehicle and motorcycle,259,Mount Road,Property-Related Crimes,-33.955318,25.5947301,2014
Theft out of or from motor vehicle,962,Mount Road,Property-Related Crimes,-33.955318,25.5947301,2014
Stock-theft,0,Mount Road,Property-Related Crimes,-33.955318,25.5947301,2014
All theft not mentioned elsewhere,1456,Mount Road,Other Serious Crimes,-33.955318,25.5947301,2014
Commercial crime,430,Mount Road,Other Serious Crimes,-33.955318,25.5947301,2014
Shoplifting,719,Mount Road,Other Serious Crimes,-33.955318,25.5947301,2014
Illegal possession of firearms and ammunition,36,Mount Road,Crime detected as a result of Police Action,-33.955318,25.5947301,2014
Drug-related crime,733,Mount Road,Crime detected as a result of Police Action,-33.955318,25.5947301,2014
Driving under the influence of alcohol or drugs,226,Mount Road,Crime detected as a result of Police Action,-33.955318,25.5947301,2014
Sexual Offences detected as a result of police action,1,Mount Road,Crime detected as a result of Police Action,-33.955318,25.5947301,2014
Murder,102,New Brighton,Contact Crimes,-33.8994277,25.5725492,2014
Attempted murder,84,New Brighton,Contact Crimes,-33.8994277,25.5725492,2014
Assault with the intent to inflict grievous bodily harm,619,New Brighton,Contact Crimes,-33.8994277,25.5725492,2014
Common assault,348,New Brighton,Contact Crimes,-33.8994277,25.5725492,2014
Common robbery,123,New Brighton,Contact Crimes,-33.8994277,25.5725492,2014
Robbery with aggravating circumstances,829,New Brighton,Contact Crimes,-33.8994277,25.5725492,2014
Rape,175,New Brighton,Sexual Offences,-33.8994277,25.5725492,2014
Sexual Assault,18,New Brighton,Sexual Offences,-33.8994277,25.5725492,2014
Attempted Sexual Offences,11,New Brighton,Sexual Offences,-33.8994277,25.5725492,2014
Contact Sexual Offences,4,New Brighton,Sexual Offences,-33.8994277,25.5725492,2014
Carjacking,80,New Brighton,Aggravated Robbery,-33.8994277,25.5725492,2014
Robbery at residential premises,107,New Brighton,Aggravated Robbery,-33.8994277,25.5725492,2014
Robbery at non-residential premises,94,New Brighton,Aggravated Robbery,-33.8994277,25.5725492,2014
Robbery of cash in transit,0,New Brighton,Aggravated Robbery,-33.8994277,25.5725492,2014
Bank robbery,0,New Brighton,Aggravated Robbery,-33.8994277,25.5725492,2014
Truck hijacking ,0,New Brighton,Aggravated Robbery,-33.8994277,25.5725492,2014
Arson,19,New Brighton,Contact-Related Crimes,-33.8994277,25.5725492,2014
Malicious damage to property,266,New Brighton,Contact-Related Crimes,-33.8994277,25.5725492,2014
Burglary at non-residential premises,90,New Brighton,Property-Related Crimes,-33.8994277,25.5725492,2014
Burglary at residential premises,375,New Brighton,Property-Related Crimes,-33.8994277,25.5725492,2014
Theft of motor vehicle and motorcycle,43,New Brighton,Property-Related Crimes,-33.8994277,25.5725492,2014
Theft out of or from motor vehicle,206,New Brighton,Property-Related Crimes,-33.8994277,25.5725492,2014
Stock-theft,2,New Brighton,Property-Related Crimes,-33.8994277,25.5725492,2014
All theft not mentioned elsewhere,355,New Brighton,Other Serious Crimes,-33.8994277,25.5725492,2014
Commercial crime,35,New Brighton,Other Serious Crimes,-33.8994277,25.5725492,2014
Shoplifting,133,New Brighton,Other Serious Crimes,-33.8994277,25.5725492,2014
Illegal possession of firearms and ammunition,49,New Brighton,Crime detected as a result of Police Action,-33.8994277,25.5725492,2014
Drug-related crime,315,New Brighton,Crime detected as a result of Police Action,-33.8994277,25.5725492,2014
Driving under the influence of alcohol or drugs,145,New Brighton,Crime detected as a result of Police Action,-33.8994277,25.5725492,2014
Sexual Offences detected as a result of police action,0,New Brighton,Crime detected as a result of Police Action,-33.8994277,25.5725492,2014
Murder,12,Swartkops,Contact Crimes,-33.8513015,25.6041969,2014
Attempted murder,9,Swartkops,Contact Crimes,-33.8513015,25.6041969,2014
Assault with the intent to inflict grievous bodily harm,129,Swartkops,Contact Crimes,-33.8513015,25.6041969,2014
Common assault,160,Swartkops,Contact Crimes,-33.8513015,25.6041969,2014
Common robbery,30,Swartkops,Contact Crimes,-33.8513015,25.6041969,2014
Robbery with aggravating circumstances,198,Swartkops,Contact Crimes,-33.8513015,25.6041969,2014
Rape,78,Swartkops,Sexual Offences,-33.8513015,25.6041969,2014
Sexual Assault,6,Swartkops,Sexual Offences,-33.8513015,25.6041969,2014
Attempted Sexual Offences,2,Swartkops,Sexual Offences,-33.8513015,25.6041969,2014
Contact Sexual Offences,0,Swartkops,Sexual Offences,-33.8513015,25.6041969,2014
Carjacking,18,Swartkops,Aggravated Robbery,-33.8513015,25.6041969,2014
Robbery at residential premises,13,Swartkops,Aggravated Robbery,-33.8513015,25.6041969,2014
Robbery at non-residential premises,28,Swartkops,Aggravated Robbery,-33.8513015,25.6041969,2014
Robbery of cash in transit,0,Swartkops,Aggravated Robbery,-33.8513015,25.6041969,2014
Bank robbery,0,Swartkops,Aggravated Robbery,-33.8513015,25.6041969,2014
Truck hijacking ,3,Swartkops,Aggravated Robbery,-33.8513015,25.6041969,2014
Arson,6,Swartkops,Contact-Related Crimes,-33.8513015,25.6041969,2014
Malicious damage to property,133,Swartkops,Contact-Related Crimes,-33.8513015,25.6041969,2014
Burglary at non-residential premises,156,Swartkops,Property-Related Crimes,-33.8513015,25.6041969,2014
Burglary at residential premises,188,Swartkops,Property-Related Crimes,-33.8513015,25.6041969,2014
Theft of motor vehicle and motorcycle,36,Swartkops,Property-Related Crimes,-33.8513015,25.6041969,2014
Theft out of or from motor vehicle,160,Swartkops,Property-Related Crimes,-33.8513015,25.6041969,2014
Stock-theft,13,Swartkops,Property-Related Crimes,-33.8513015,25.6041969,2014
All theft not mentioned elsewhere,412,Swartkops,Other Serious Crimes,-33.8513015,25.6041969,2014
Commercial crime,26,Swartkops,Other Serious Crimes,-33.8513015,25.6041969,2014
Shoplifting,18,Swartkops,Other Serious Crimes,-33.8513015,25.6041969,2014
Illegal possession of firearms and ammunition,12,Swartkops,Crime detected as a result of Police Action,-33.8513015,25.6041969,2014
Drug-related crime,83,Swartkops,Crime detected as a result of Police Action,-33.8513015,25.6041969,2014
Driving under the influence of alcohol or drugs,254,Swartkops,Crime detected as a result of Police Action,-33.8513015,25.6041969,2014
Sexual Offences detected as a result of police action,16,Swartkops,Crime detected as a result of Police Action,-33.8513015,25.6041969,2014
Murder,11,Uitenhage,Contact Crimes,-33.765462,25.4007937,2014
Attempted murder,11,Uitenhage,Contact Crimes,-33.765462,25.4007937,2014
Assault with the intent to inflict grievous bodily harm,82,Uitenhage,Contact Crimes,-33.765462,25.4007937,2014
Common assault,182,Uitenhage,Contact Crimes,-33.765462,25.4007937,2014
Common robbery,62,Uitenhage,Contact Crimes,-33.765462,25.4007937,2014
Robbery with aggravating circumstances,162,Uitenhage,Contact Crimes,-33.765462,25.4007937,2014
Rape,32,Uitenhage,Sexual Offences,-33.765462,25.4007937,2014
Sexual Assault,10,Uitenhage,Sexual Offences,-33.765462,25.4007937,2014
Attempted Sexual Offences,5,Uitenhage,Sexual Offences,-33.765462,25.4007937,2014
Contact Sexual Offences,1,Uitenhage,Sexual Offences,-33.765462,25.4007937,2014
Carjacking,14,Uitenhage,Aggravated Robbery,-33.765462,25.4007937,2014
Robbery at residential premises,8,Uitenhage,Aggravated Robbery,-33.765462,25.4007937,2014
Robbery at non-residential premises,26,Uitenhage,Aggravated Robbery,-33.765462,25.4007937,2014
Robbery of cash in transit,0,Uitenhage,Aggravated Robbery,-33.765462,25.4007937,2014
Bank robbery,0,Uitenhage,Aggravated Robbery,-33.765462,25.4007937,2014
Truck hijacking ,3,Uitenhage,Aggravated Robbery,-33.765462,25.4007937,2014
Arson,2,Uitenhage,Contact-Related Crimes,-33.765462,25.4007937,2014
Malicious damage to property,176,Uitenhage,Contact-Related Crimes,-33.765462,25.4007937,2014
Burglary at non-residential premises,203,Uitenhage,Property-Related Crimes,-33.765462,25.4007937,2014
Burglary at residential premises,246,Uitenhage,Property-Related Crimes,-33.765462,25.4007937,2014
Theft of motor vehicle and motorcycle,99,Uitenhage,Property-Related Crimes,-33.765462,25.4007937,2014
Theft out of or from motor vehicle,218,Uitenhage,Property-Related Crimes,-33.765462,25.4007937,2014
Stock-theft,33,Uitenhage,Property-Related Crimes,-33.765462,25.4007937,2014
All theft not mentioned elsewhere,698,Uitenhage,Other Serious Crimes,-33.765462,25.4007937,2014
Commercial crime,158,Uitenhage,Other Serious Crimes,-33.765462,25.4007937,2014
Shoplifting,239,Uitenhage,Other Serious Crimes,-33.765462,25.4007937,2014
Illegal possession of firearms and ammunition,8,Uitenhage,Crime detected as a result of Police Action,-33.765462,25.4007937,2014
Drug-related crime,218,Uitenhage,Crime detected as a result of Police Action,-33.765462,25.4007937,2014
Driving under the influence of alcohol or drugs,292,Uitenhage,Crime detected as a result of Police Action,-33.765462,25.4007937,2014
Sexual Offences detected as a result of police action,24,Uitenhage,Crime detected as a result of Police Action,-33.765462,25.4007937,2014
Murder,26,Walmer,Contact Crimes,-33.9788678,25.5853756,2014
Attempted murder,13,Walmer,Contact Crimes,-33.9788678,25.5853756,2014
Assault with the intent to inflict grievous bodily harm,310,Walmer,Contact Crimes,-33.9788678,25.5853756,2014
Common assault,308,Walmer,Contact Crimes,-33.9788678,25.5853756,2014
Common robbery,75,Walmer,Contact Crimes,-33.9788678,25.5853756,2014
Robbery with aggravating circumstances,188,Walmer,Contact Crimes,-33.9788678,25.5853756,2014
Rape,111,Walmer,Sexual Offences,-33.9788678,25.5853756,2014
Sexual Assault,11,Walmer,Sexual Offences,-33.9788678,25.5853756,2014
Attempted Sexual Offences,6,Walmer,Sexual Offences,-33.9788678,25.5853756,2014
Contact Sexual Offences,6,Walmer,Sexual Offences,-33.9788678,25.5853756,2014
Carjacking,4,Walmer,Aggravated Robbery,-33.9788678,25.5853756,2014
Robbery at residential premises,40,Walmer,Aggravated Robbery,-33.9788678,25.5853756,2014
Robbery at non-residential premises,33,Walmer,Aggravated Robbery,-33.9788678,25.5853756,2014
Robbery of cash in transit,0,Walmer,Aggravated Robbery,-33.9788678,25.5853756,2014
Bank robbery,0,Walmer,Aggravated Robbery,-33.9788678,25.5853756,2014
Truck hijacking ,0,Walmer,Aggravated Robbery,-33.9788678,25.5853756,2014
Arson,12,Walmer,Contact-Related Crimes,-33.9788678,25.5853756,2014
Malicious damage to property,330,Walmer,Contact-Related Crimes,-33.9788678,25.5853756,2014
Burglary at non-residential premises,128,Walmer,Property-Related Crimes,-33.9788678,25.5853756,2014
Burglary at residential premises,830,Walmer,Property-Related Crimes,-33.9788678,25.5853756,2014
Theft of motor vehicle and motorcycle,208,Walmer,Property-Related Crimes,-33.9788678,25.5853756,2014
Theft out of or from motor vehicle,431,Walmer,Property-Related Crimes,-33.9788678,25.5853756,2014
Stock-theft,0,Walmer,Property-Related Crimes,-33.9788678,25.5853756,2014
All theft not mentioned elsewhere,839,Walmer,Other Serious Crimes,-33.9788678,25.5853756,2014
Commercial crime,154,Walmer,Other Serious Crimes,-33.9788678,25.5853756,2014
Shoplifting,162,Walmer,Other Serious Crimes,-33.9788678,25.5853756,2014
Illegal possession of firearms and ammunition,20,Walmer,Crime detected as a result of Police Action,-33.9788678,25.5853756,2014
Drug-related crime,48,Walmer,Crime detected as a result of Police Action,-33.9788678,25.5853756,2014
Driving under the influence of alcohol or drugs,142,Walmer,Crime detected as a result of Police Action,-33.9788678,25.5853756,2014
Sexual Offences detected as a result of police action,2,Walmer,Crime detected as a result of Police Action,-33.9788678,25.5853756,2014
Murder,22,Algoapark,Contact Crimes,-33.9031712,25.5704957,2015
Attempted murder,16,Algoapark,Contact Crimes,-33.9031712,25.5704957,2015
Assault with the intent to inflict grievous bodily harm,161,Algoapark,Contact Crimes,-33.9031712,25.5704957,2015
Common assault,181,Algoapark,Contact Crimes,-33.9031712,25.5704957,2015
Common robbery,67,Algoapark,Contact Crimes,-33.9031712,25.5704957,2015
Robbery with aggravating circumstances,276,Algoapark,Contact Crimes,-33.9031712,25.5704957,2015
Rape,50,Algoapark,Sexual Offences,-33.9031712,25.5704957,2015
Sexual Assault,8,Algoapark,Sexual Offences,-33.9031712,25.5704957,2015
Attempted Sexual Offences,2,Algoapark,Sexual Offences,-33.9031712,25.5704957,2015
Contact Sexual Offences,2,Algoapark,Sexual Offences,-33.9031712,25.5704957,2015
Carjacking,26,Algoapark,Aggravated Robbery,-33.9031712,25.5704957,2015
Robbery at residential premises,20,Algoapark,Aggravated Robbery,-33.9031712,25.5704957,2015
Robbery at non-residential premises,37,Algoapark,Aggravated Robbery,-33.9031712,25.5704957,2015
Robbery of cash in transit,0,Algoapark,Aggravated Robbery,-33.9031712,25.5704957,2015
Bank robbery,0,Algoapark,Aggravated Robbery,-33.9031712,25.5704957,2015
Truck hijacking ,2,Algoapark,Aggravated Robbery,-33.9031712,25.5704957,2015
Arson,6,Algoapark,Contact-Related Crimes,-33.9031712,25.5704957,2015
Malicious damage to property,239,Algoapark,Contact-Related Crimes,-33.9031712,25.5704957,2015
Burglary at non-residential premises,259,Algoapark,Property-Related Crimes,-33.9031712,25.5704957,2015
Burglary at residential premises,288,Algoapark,Property-Related Crimes,-33.9031712,25.5704957,2015
Theft of motor vehicle and motorcycle,90,Algoapark,Property-Related Crimes,-33.9031712,25.5704957,2015
Theft out of or from motor vehicle,337,Algoapark,Property-Related Crimes,-33.9031712,25.5704957,2015
Stock-theft,1,Algoapark,Property-Related Crimes,-33.9031712,25.5704957,2015
All theft not mentioned elsewhere,523,Algoapark,Other Serious Crimes,-33.9031712,25.5704957,2015
Commercial crime,79,Algoapark,Other Serious Crimes,-33.9031712,25.5704957,2015
Shoplifting,169,Algoapark,Other Serious Crimes,-33.9031712,25.5704957,2015
