iter	Passed	Remaining
215	19758	71715
216	19857	71650
217	19946	71549
218	20053	71513
219	20156	71464
220	20246	71365
221	20345	71302
222	20436	71208
223	20531	71126
224	20626	71048
225	20729	70994
226	20819	70895
227	20920	70837
228	21028	70800
229	21115	70691
230	21208	70602
231	21295	70496
232	21373	70357
233	21466	70270
234	21560	70185
235	21638	70051
236	21732	69966
237	21812	69837
238	21901	69736
239	21997	69660
240	22086	69559
241	22174	69456
242	22262	69354
243	22358	69273
244	22441	69155
245	22538	69080
246	22615	68945
247	22695	68819
248	22783	68716
249	22869	68608
250	22953	68493
251	23049	68416
252	23137	68315
253	23235	68243
254	23335	68176
255	23424	68076
256	23528	68022
257	23622	67938
258	23711	67839
259	23801	67741
260	23892	67650
261	24021	67663
262	24106	67551
263	24198	67463
264	24283	67352
265	24371	67251
266	24455	67139
267	24540	67029
268	24620	66906
269	24716	66825
270	24810	66742
271	24899	66641
272	24992	66554
273	25080	66454
274	25190	66411
275	25283	66324
276	25374	66229
277	25470	66148
278	25566	66069
279	25642	65938
280	25731	65838
281	25821	65744
282	25907	65639
283	26001	65552
284	26094	65465
285	26189	65381
286	26279	65287
287	26378	65214
288	26466	65112
289	26554	65012
290	26635	64895
291	26714	64774
292	26799	64667
293	26893	64580
294	26978	64472
295	27081	64411
296	27171	64315
297	27251	64196
298	27330	64075
299	27415	63968
300	27496	63853
301	27585	63757
302	27669	63648
303	27759	63554
304	27860	63484
305	27944	63378
306	28034	63282
307	28110	63156
308	28202	63067
309	28280	62946
310	28366	62844
311	28460	62758
312	28540	62642
313	28629	62546
314	28732	62482
315	28818	62379
316	28908	62285
317	29003	62202
318	29097	62116
319	29192	62033
320	29279	61934
321	29354	61807
322	29444	61714
323	29536	61625
324	29624	61527
325	29723	61453
326	29814	61360
327	29912	61283
328	30005	61197
329	30100	61113
330	30191	61020
331	30287	60940
332	30370	60832
333	30459	60736
334	30546	60636
335	30643	60557
336	30725	60448
337	30820	60364
338	30907	60264
339	30996	60169
340	31083	60071
341	31174	59978
342	31268	59893
343	31351	59787
344	31436	59683
345	31530	59597
346	31623	59509
347	31725	59440
348	31813	59341
349	31903	59249
350	32014	59194
351	32111	59114
352	32201	59020
353	32299	58941
354	32391	58851
355	32484	58763
356	32565	58654
357	32666	58580
358	32755	58485
359	32833	58370
360	32908	58250
361	33010	58179
362	33115	58112
363	33196	58002
364	33292	57920
365	33388	57837
366	33478	57743
367	33566	57646
368	33661	57562
369	33755	57475
370	33860	57407
371	33960	57330
372	34060	57255
373	34154	57167
374	34245	57075
375	34341	56991
376	34438	56909
377	34518	56800
378	34603	56698
379	34722	56652
380	34812	56559
381	34905	56470
382	34996	56378
383	35083	56279
384	35173	56186
385	35267	56099
386	35350	55994
387	35437	55896
388	35538	55819
389	35628	55726
390	35703	55609
391	35802	55530
392	35897	55444
393	35979	55338
394	36063	55235
395	36163	55158
396	36245	55052
397	36343	54972
398	36423	54863
